submission_id,SubjectId,responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration
119,6541c19ed9da06afaaf2c95b,12602,1,1,2,46,686,262, për ,243.265625,679.828125,263.265625,710.859375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,12652,1,1,2,46,694,262, për ,243.265625,679.828125,263.265625,710.859375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,12702,1,1,2,46,699,262, për ,243.265625,679.828125,263.265625,710.859375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,12751,1,1,2,46,707,262, për ,243.265625,679.828125,263.265625,710.859375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,12800,1,1,2,47,719,262, të ,243.265625,710.859375,263.265625,730.875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,12853,1,1,2,48,736,262, dëgjuar ,243.265625,730.875,263.265625,795.9375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,12903,1,1,2,48,747,262, dëgjuar ,243.265625,730.875,263.265625,795.9375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,12950,1,1,2,48,754,262, dëgjuar ,243.265625,730.875,263.265625,795.9375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13001,1,1,2,48,766,262, dëgjuar ,243.265625,730.875,263.265625,795.9375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13050,1,1,2,48,772,262, dëgjuar ,243.265625,730.875,263.265625,795.9375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13100,1,1,2,48,779,262, dëgjuar ,243.265625,730.875,263.265625,795.9375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13151,1,1,2,48,789,262, dëgjuar ,243.265625,730.875,263.265625,795.9375,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13200,1,1,2,49,800,262, veçse ,243.265625,795.9375,263.265625,847.96875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13251,1,1,2,49,817,262, veçse ,243.265625,795.9375,263.265625,847.96875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13302,1,1,2,49,834,262, veçse ,243.265625,795.9375,263.265625,847.96875,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13352,1,1,2,50,848,262, gjëra ,243.265625,847.96875,263.265625,893.0,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13402,1,1,2,50,854,262, gjëra ,243.265625,847.96875,263.265625,893.0,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13452,1,1,2,50,863,262, gjëra ,243.265625,847.96875,263.265625,893.0,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13502,1,1,2,50,876,262, gjëra ,243.265625,847.96875,263.265625,893.0,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13552,1,1,2,50,884,262, gjëra ,243.265625,847.96875,263.265625,893.0,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13600,1,1,2,50,887,262, gjëra ,243.265625,847.96875,263.265625,893.0,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13653,1,1,2,51,902,262, të ,243.265625,893.0,263.265625,913.015625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13700,1,1,2,51,910,262, të ,243.265625,893.0,263.265625,913.015625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13750,1,1,2,52,924,262, çuditshme. ,243.265625,913.015625,263.265625,1005.0625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13800,1,1,2,52,937,262, çuditshme. ,243.265625,913.015625,263.265625,1005.0625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13851,1,1,2,52,951,262, çuditshme. ,243.265625,913.015625,263.265625,1005.0625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13900,1,1,2,52,965,262, çuditshme. ,243.265625,913.015625,263.265625,1005.0625,Si një muaj mjalti në male.,,,,,
119,6541c19ed9da06afaaf2c95b,13952,1,1,2,52,981,262, çuditshme. ,243.265625,913.015625,263.265625,1005.0625,Si një muaj mjalti në male.,,,,,
