responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
489,1.0,1.0,1.0,-1.0,616.0,381.0,,,,,,,,,1733303657189.0,1733304168179.0,510990.0,6,6
545,1.0,1.0,1.0,76.0,556.0,312.0, dukshme ,310.9125061035156,528.2999877929688,330.9125061035156,606.3499908447266,,,,,,,6,6
592,1.0,1.0,1.0,-1.0,511.0,259.0,,,,,,,,,,,,6,6
640,1.0,1.0,1.0,-1.0,481.0,220.0,,,,,,,,,,,,6,6
689,1.0,1.0,1.0,-1.0,457.0,180.0,,,,,,,,,,,,6,6
753,1.0,1.0,1.0,-1.0,446.0,145.0,,,,,,,,,,,,6,6
798,1.0,1.0,1.0,-1.0,441.0,137.0,,,,,,,,,,,,6,6
847,1.0,1.0,1.0,0.0,439.0,132.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
889,1.0,1.0,1.0,0.0,440.0,130.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
944,1.0,1.0,1.0,0.0,440.0,128.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
989,1.0,1.0,1.0,0.0,441.0,126.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
1040,1.0,1.0,1.0,0.0,445.0,119.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
1089,1.0,1.0,1.0,0.0,445.0,117.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
1152,1.0,1.0,1.0,0.0,445.0,117.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
1199,1.0,1.0,1.0,0.0,447.0,116.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
1242,1.0,1.0,1.0,0.0,450.0,114.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
1290,1.0,1.0,1.0,0.0,454.0,114.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
1342,1.0,1.0,1.0,0.0,468.0,116.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
1389,1.0,1.0,1.0,0.0,472.0,118.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
1439,1.0,1.0,1.0,0.0,476.0,122.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,6,6
1489,1.0,1.0,1.0,1.0,477.0,122.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,6,6
1553,1.0,1.0,1.0,1.0,490.0,122.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,6,6
1589,1.0,1.0,1.0,1.0,498.0,122.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,6,6
1640,1.0,1.0,1.0,1.0,510.0,122.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,6,6
1690,1.0,1.0,1.0,2.0,528.0,122.0, sateliti ,110.9124984741211,526.2875366210938,130.9124984741211,582.3125381469727,,,,,,,6,6
1739,1.0,1.0,1.0,2.0,545.0,122.0, sateliti ,110.9124984741211,526.2875366210938,130.9124984741211,582.3125381469727,,,,,,,6,6
