responseTime,Experiment,Condition,ItemId,Index,Word,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
909,1.0,1.0,1.0,76.0, dukshme ,585.0,318.0,310.9125061035156,528.2999877929688,330.9125061035156,606.3499908447266,,,,1733300890183.0,1733301665730.0,775547.0,5,5
959,1.0,1.0,1.0,0.0, Hëna ,465.0,132.0,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,5,5
1306,1.0,1.0,1.0,-1.0,,394.0,98.0,,,,,,,,,,,5,5
1359,1.0,1.0,1.0,-1.0,,399.0,108.0,,,,,,,,,,,5,5
1407,1.0,1.0,1.0,-1.0,,400.0,114.0,,,,,,,,,,,5,5
1456,1.0,1.0,1.0,-1.0,,402.0,119.0,,,,,,,,,,,5,5
1507,1.0,1.0,1.0,-1.0,,404.0,122.0,,,,,,,,,,,5,5
1557,1.0,1.0,1.0,-1.0,,406.0,124.0,,,,,,,,,,,5,5
1611,1.0,1.0,1.0,-1.0,,413.0,124.0,,,,,,,,,,,5,5
1656,1.0,1.0,1.0,-1.0,,420.0,124.0,,,,,,,,,,,5,5
1708,1.0,1.0,1.0,-1.0,,425.0,125.0,,,,,,,,,,,5,5
1758,1.0,1.0,1.0,-1.0,,428.0,125.0,,,,,,,,,,,5,5
1819,1.0,1.0,1.0,-1.0,,428.0,125.0,,,,,,,,,,,5,5
1867,1.0,1.0,1.0,-1.0,,428.0,125.0,,,,,,,,,,,5,5
1914,1.0,1.0,1.0,-1.0,,428.0,125.0,,,,,,,,,,,5,5
1960,1.0,1.0,1.0,-1.0,,428.0,125.0,,,,,,,,,,,5,5
2007,1.0,1.0,1.0,-1.0,,428.0,125.0,,,,,,,,,,,5,5
2070,1.0,1.0,1.0,-1.0,,428.0,125.0,,,,,,,,,,,5,5
2114,1.0,1.0,1.0,-1.0,,428.0,125.0,,,,,,,,,,,5,5
2163,1.0,1.0,1.0,0.0, Hëna ,438.0,128.0,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,5,5
2206,1.0,1.0,1.0,0.0, Hëna ,455.0,132.0,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,5,5
2259,1.0,1.0,1.0,0.0, Hëna ,466.0,134.0,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,5,5
2307,1.0,1.0,1.0,0.0, Hëna ,474.0,134.0,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,5,5
2357,1.0,1.0,1.0,-1.0,,482.0,136.0,,,,,,,,,,,5,5
2410,1.0,1.0,1.0,-1.0,,488.0,138.0,,,,,,,,,,,5,5
2458,1.0,1.0,1.0,-1.0,,497.0,140.0,,,,,,,,,,,5,5
2506,1.0,1.0,1.0,-1.0,,504.0,140.0,,,,,,,,,,,5,5
2562,1.0,1.0,1.0,-1.0,,512.0,140.0,,,,,,,,,,,5,5
2615,1.0,1.0,1.0,-1.0,,517.0,139.0,,,,,,,,,,,5,5
2658,1.0,1.0,1.0,1.0, është ,524.0,134.0,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,5,5
2706,1.0,1.0,1.0,2.0, sateliti ,531.0,130.0,110.9124984741211,526.2875366210938,130.9124984741211,582.3125381469727,,,,,,,5,5
2769,1.0,1.0,1.0,2.0, sateliti ,536.0,125.0,110.9124984741211,526.2875366210938,130.9124984741211,582.3125381469727,,,,,,,5,5
2816,1.0,1.0,1.0,2.0, sateliti ,542.0,121.0,110.9124984741211,526.2875366210938,130.9124984741211,582.3125381469727,,,,,,,5,5
2858,1.0,1.0,1.0,2.0, sateliti ,547.0,116.0,110.9124984741211,526.2875366210938,130.9124984741211,582.3125381469727,,,,,,,5,5
