responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
2384,1.0,1.0,1.0,-1.0,412.0,407.0,,,,,,,,,1733344077366.0,1733344748059.0,670693.0,20,20
2438,1.0,1.0,1.0,-1.0,365.0,361.0,,,,,,,,,,,,20,20
2490,1.0,1.0,1.0,-1.0,337.0,310.0,,,,,,,,,,,,20,20
2839,1.0,1.0,1.0,-1.0,344.0,120.0,,,,,,,,,,,,20,20
2891,1.0,1.0,1.0,-1.0,358.0,120.0,,,,,,,,,,,,20,20
2936,1.0,1.0,1.0,-1.0,380.0,120.0,,,,,,,,,,,,20,20
2989,1.0,1.0,1.0,-1.0,387.0,120.0,,,,,,,,,,,,20,20
3039,1.0,1.0,1.0,-1.0,401.0,116.0,,,,,,,,,,,,20,20
3089,1.0,1.0,1.0,-1.0,416.0,112.0,,,,,,,,,,,,20,20
3136,1.0,1.0,1.0,-1.0,416.0,112.0,,,,,,,,,,,,20,20
3189,1.0,1.0,1.0,-1.0,416.0,111.0,,,,,,,,,,,,20,20
3239,1.0,1.0,1.0,-1.0,416.0,111.0,,,,,,,,,,,,20,20
3294,1.0,1.0,1.0,-1.0,416.0,111.0,,,,,,,,,,,,20,20
3344,1.0,1.0,1.0,-1.0,416.0,111.0,,,,,,,,,,,,20,20
3393,1.0,1.0,1.0,-1.0,416.0,111.0,,,,,,,,,,,,20,20
3443,1.0,1.0,1.0,-1.0,416.0,111.0,,,,,,,,,,,,20,20
3485,1.0,1.0,1.0,-1.0,416.0,111.0,,,,,,,,,,,,20,20
3540,1.0,1.0,1.0,-1.0,420.0,114.0,,,,,,,,,,,,20,20
3584,1.0,1.0,1.0,-1.0,424.0,118.0,,,,,,,,,,,,20,20
3640,1.0,1.0,1.0,-1.0,426.0,121.0,,,,,,,,,,,,20,20
3684,1.0,1.0,1.0,-1.0,427.0,124.0,,,,,,,,,,,,20,20
3739,1.0,1.0,1.0,-1.0,428.0,125.0,,,,,,,,,,,,20,20
3787,1.0,1.0,1.0,-1.0,428.0,126.0,,,,,,,,,,,,20,20
3840,1.0,1.0,1.0,0.0,431.0,128.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
3889,1.0,1.0,1.0,0.0,432.0,128.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
3936,1.0,1.0,1.0,0.0,432.0,129.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
3988,1.0,1.0,1.0,0.0,434.0,131.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
4039,1.0,1.0,1.0,0.0,436.0,132.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
4087,1.0,1.0,1.0,0.0,436.0,133.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
4139,1.0,1.0,1.0,-1.0,440.0,136.0,,,,,,,,,,,,20,20
4188,1.0,1.0,1.0,-1.0,440.0,136.0,,,,,,,,,,,,20,20
4238,1.0,1.0,1.0,-1.0,440.0,136.0,,,,,,,,,,,,20,20
4289,1.0,1.0,1.0,-1.0,445.0,136.0,,,,,,,,,,,,20,20
4339,1.0,1.0,1.0,-1.0,450.0,136.0,,,,,,,,,,,,20,20
4389,1.0,1.0,1.0,-1.0,453.0,136.0,,,,,,,,,,,,20,20
4438,1.0,1.0,1.0,-1.0,460.0,136.0,,,,,,,,,,,,20,20
4488,1.0,1.0,1.0,0.0,465.0,132.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
4536,1.0,1.0,1.0,0.0,466.0,132.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
4584,1.0,1.0,1.0,0.0,468.0,132.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
4638,1.0,1.0,1.0,0.0,470.0,130.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
4689,1.0,1.0,1.0,0.0,472.0,130.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
4740,1.0,1.0,1.0,0.0,475.0,128.0, Hëna ,110.9124984741211,429.2124938964844,130.9124984741211,477.24999618530273,,,,,,,20,20
4788,1.0,1.0,1.0,1.0,477.0,128.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,20,20
4839,1.0,1.0,1.0,1.0,482.0,126.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,20,20
4889,1.0,1.0,1.0,1.0,490.0,126.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,20,20
4937,1.0,1.0,1.0,1.0,492.0,126.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,20,20
4988,1.0,1.0,1.0,1.0,493.0,126.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,20,20
5038,1.0,1.0,1.0,1.0,493.0,126.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,20,20
5089,1.0,1.0,1.0,1.0,493.0,126.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,20,20
5136,1.0,1.0,1.0,1.0,493.0,126.0, është ,110.9124984741211,477.25,130.9124984741211,526.2875022888184,,,,,,,20,20
