responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
370,1.0,1.0,1.0,-1.0,1081.0,418.0,,,,,,,,,1734737326708.0,1734737936645.0,609937.0,46,46
423,1.0,1.0,1.0,52.0,957.0,265.0, periudhën ,242.265625,878.78125,264.265625,963.015625,,,,,,,46,46
471,1.0,1.0,1.0,19.0,841.0,168.0, (238900 ,162.265625,831.015625,184.265625,902.53125,,,,,,,46,46
773,1.0,1.0,1.0,-1.0,605.0,183.0,,,,,,,,,,,,46,46
819,1.0,1.0,1.0,-1.0,605.0,186.0,,,,,,,,,,,,46,46
873,1.0,1.0,1.0,-1.0,624.0,166.0,,,,,,,,,,,,46,46
920,1.0,1.0,1.0,-1.0,633.0,150.0,,,,,,,,,,,,46,46
973,1.0,1.0,1.0,0.0,638.0,128.0, Hëna ,122.265625,625.375,144.265625,671.03125,,,,,,,46,46
1021,1.0,1.0,1.0,0.0,639.0,124.0, Hëna ,122.265625,625.375,144.265625,671.03125,,,,,,,46,46
1071,1.0,1.0,1.0,0.0,639.0,124.0, Hëna ,122.265625,625.375,144.265625,671.03125,,,,,,,46,46
1121,1.0,1.0,1.0,0.0,641.0,124.0, Hëna ,122.265625,625.375,144.265625,671.03125,,,,,,,46,46
1169,1.0,1.0,1.0,0.0,644.0,124.0, Hëna ,122.265625,625.375,144.265625,671.03125,,,,,,,46,46
1223,1.0,1.0,1.0,0.0,660.0,130.0, Hëna ,122.265625,625.375,144.265625,671.03125,,,,,,,46,46
1271,1.0,1.0,1.0,0.0,667.0,132.0, Hëna ,122.265625,625.375,144.265625,671.03125,,,,,,,46,46
1320,1.0,1.0,1.0,0.0,669.0,132.0, Hëna ,122.265625,625.375,144.265625,671.03125,,,,,,,46,46
1370,1.0,1.0,1.0,0.0,669.0,132.0, Hëna ,122.265625,625.375,144.265625,671.03125,,,,,,,46,46
1421,1.0,1.0,1.0,0.0,670.0,132.0, Hëna ,122.265625,625.375,144.265625,671.03125,,,,,,,46,46
1470,1.0,1.0,1.0,1.0,673.0,132.0, është ,122.265625,671.03125,144.265625,717.90625,,,,,,,46,46
1520,1.0,1.0,1.0,1.0,686.0,132.0, është ,122.265625,671.03125,144.265625,717.90625,,,,,,,46,46
1569,1.0,1.0,1.0,1.0,705.0,132.0, është ,122.265625,671.03125,144.265625,717.90625,,,,,,,46,46
1620,1.0,1.0,1.0,1.0,713.0,132.0, është ,122.265625,671.03125,144.265625,717.90625,,,,,,,46,46
1672,1.0,1.0,1.0,2.0,717.0,131.0, sateliti ,122.265625,717.90625,144.265625,775.015625,,,,,,,46,46
