responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
762,1.0,1.0,1.0,-1.0,385.0,336.0,,,,,,,,,1733425600972.0,1733426031409.0,430437.0,29,29
810,1.0,1.0,1.0,89.0,386.0,322.0, objekti ,307.140625,384.921875,327.140625,441.96875,,,,,,,29,29
859,1.0,1.0,1.0,-1.0,394.0,297.0,,,,,,,,,,,,29,29
910,1.0,1.0,1.0,74.0,398.0,281.0, është ,267.140625,374.921875,287.140625,423.96875,,,,,,,29,29
957,1.0,1.0,1.0,59.0,396.0,245.0, mbylljes ,227.140625,348.875,247.140625,418.890625,,,,,,,29,29
1009,1.0,1.0,1.0,-1.0,362.0,133.0,,,,,,,,,,,,29,29
1061,1.0,1.0,1.0,0.0,343.0,72.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1109,1.0,1.0,1.0,0.0,340.0,68.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1159,1.0,1.0,1.0,0.0,340.0,68.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1210,1.0,1.0,1.0,0.0,340.0,68.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1257,1.0,1.0,1.0,0.0,340.0,68.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1311,1.0,1.0,1.0,0.0,340.0,68.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1360,1.0,1.0,1.0,0.0,340.0,68.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1407,1.0,1.0,1.0,0.0,343.0,76.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1459,1.0,1.0,1.0,0.0,346.0,79.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1513,1.0,1.0,1.0,0.0,346.0,79.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1559,1.0,1.0,1.0,0.0,346.0,79.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1609,1.0,1.0,1.0,0.0,346.0,79.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1659,1.0,1.0,1.0,0.0,348.0,80.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1711,1.0,1.0,1.0,0.0,355.0,78.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1759,1.0,1.0,1.0,0.0,366.0,78.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,29,29
1806,1.0,1.0,1.0,1.0,394.0,83.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,29,29
1860,1.0,1.0,1.0,1.0,396.0,83.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,29,29
1910,1.0,1.0,1.0,1.0,397.0,83.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,29,29
1966,1.0,1.0,1.0,1.0,398.0,83.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,29,29
2010,1.0,1.0,1.0,1.0,404.0,84.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,29,29
2057,1.0,1.0,1.0,1.0,415.0,86.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,29,29
2107,1.0,1.0,1.0,1.0,417.0,87.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,29,29
2157,1.0,1.0,1.0,1.0,424.0,87.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,29,29
2207,1.0,1.0,1.0,1.0,431.0,87.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,29,29
2258,1.0,1.0,1.0,2.0,443.0,87.0, sateliti ,67.140625,436.96875,87.140625,493.0,,,,,,,29,29
2310,1.0,1.0,1.0,2.0,452.0,87.0, sateliti ,67.140625,436.96875,87.140625,493.0,,,,,,,29,29
2368,1.0,1.0,1.0,2.0,452.0,87.0, sateliti ,67.140625,436.96875,87.140625,493.0,,,,,,,29,29
2408,1.0,1.0,1.0,2.0,455.0,87.0, sateliti ,67.140625,436.96875,87.140625,493.0,,,,,,,29,29
2458,1.0,1.0,1.0,2.0,458.0,87.0, sateliti ,67.140625,436.96875,87.140625,493.0,,,,,,,29,29
2509,1.0,1.0,1.0,2.0,469.0,87.0, sateliti ,67.140625,436.96875,87.140625,493.0,,,,,,,29,29
