responseTime,Experiment,Condition,ItemId,Index,Word,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
1014,1.0,1.0,1.0,104.0, kryesor ,527.0,405.0,389.9296875,510.4453125,410.4296875,574.4609375,,,,1734641038071.0,1734641650305.0,612234.0,36,36
1061,1.0,1.0,1.0,89.0, objekti ,483.0,362.0,349.9296875,456.421875,370.4296875,513.4609375,,,,,,,36,36
1110,1.0,1.0,1.0,73.0, dhe ,443.0,313.0,309.9296875,411.375,330.4296875,446.4140625,,,,,,,36,36
1162,1.0,1.0,1.0,59.0, mbylljes ,427.0,272.0,269.9296875,420.375,290.4296875,490.390625,,,,,,,36,36
1210,1.0,1.0,1.0,43.0, periudha ,424.0,239.0,229.9296875,411.375,250.4296875,486.4375,,,,,,,36,36
1261,1.0,1.0,1.0,28.0, diametri ,419.0,194.0,189.9296875,411.375,210.4296875,480.3984375,,,,,,,36,36
1313,1.0,1.0,1.0,-1.0,,419.0,183.0,,,,,,,,,,,36,36
1360,1.0,1.0,1.0,-1.0,,420.0,181.0,,,,,,,,,,,36,36
1412,1.0,1.0,1.0,14.0, distancë ,421.0,172.0,149.9296875,411.375,170.4296875,483.421875,,,,,,,36,36
1460,1.0,1.0,1.0,0.0, Hëna ,428.0,123.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
1510,1.0,1.0,1.0,0.0, Hëna ,427.0,110.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
1574,1.0,1.0,1.0,-1.0,,427.0,109.0,,,,,,,,,,,36,36
1615,1.0,1.0,1.0,-1.0,,426.0,109.0,,,,,,,,,,,36,36
1672,1.0,1.0,1.0,0.0, Hëna ,425.0,111.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
1718,1.0,1.0,1.0,0.0, Hëna ,424.0,112.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
1760,1.0,1.0,1.0,0.0, Hëna ,423.0,114.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
1812,1.0,1.0,1.0,0.0, Hëna ,422.0,115.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
1860,1.0,1.0,1.0,0.0, Hëna ,421.0,115.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
1914,1.0,1.0,1.0,0.0, Hëna ,420.0,116.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
1975,1.0,1.0,1.0,0.0, Hëna ,419.0,119.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
2009,1.0,1.0,1.0,0.0, Hëna ,419.0,121.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
2060,1.0,1.0,1.0,0.0, Hëna ,419.0,121.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
2122,1.0,1.0,1.0,0.0, Hëna ,419.0,121.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
2171,1.0,1.0,1.0,0.0, Hëna ,419.0,121.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
2218,1.0,1.0,1.0,0.0, Hëna ,419.0,121.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
2264,1.0,1.0,1.0,0.0, Hëna ,419.0,121.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
2311,1.0,1.0,1.0,0.0, Hëna ,419.0,121.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
2373,1.0,1.0,1.0,0.0, Hëna ,419.0,121.0,109.9296875,411.375,130.4296875,459.4140625,,,,,,,36,36
