responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
588,1.0,1.0,1.0,-1.0,711.0,416.0,,,,,,,,,1733495237801.0,1733495856237.0,618436.0,18,18
630,1.0,1.0,1.0,78.0,659.0,329.0, cikli ,311.1625061035156,628.3500366210938,331.1625061035156,663.3500366210938,,,,,,,18,18
685,1.0,1.0,1.0,-1.0,599.0,179.0,,,,,,,,,,,,18,18
1187,1.0,1.0,1.0,-1.0,614.0,100.0,,,,,,,,,,,,18,18
1237,1.0,1.0,1.0,4.0,616.0,111.0, vetëm ,111.1624984741211,595.3125,131.1624984741211,649.3375015258789,,,,,,,18,18
1283,1.0,1.0,1.0,4.0,618.0,125.0, vetëm ,111.1624984741211,595.3125,131.1624984741211,649.3375015258789,,,,,,,18,18
1332,1.0,1.0,1.0,-1.0,624.0,135.0,,,,,,,,,,,,18,18
1391,1.0,1.0,1.0,17.0,648.0,170.0, 384400 ,151.16250610351562,620.3250122070312,171.16250610351562,685.400016784668,,,,,,,18,18
1440,1.0,1.0,1.0,-1.0,704.0,261.0,,,,,,,,,,,,18,18
1487,1.0,1.0,1.0,81.0,738.0,325.0, hënore. ,311.1625061035156,730.3875122070312,331.1625061035156,796.4375152587891,,,,,,,18,18
1529,1.0,1.0,1.0,94.0,753.0,367.0, veçanërisht ,351.1625061035156,710.375,371.1625061035156,807.4250030517578,,,,,,,18,18
1590,1.0,1.0,1.0,94.0,753.0,365.0, veçanërisht ,351.1625061035156,710.375,371.1625061035156,807.4250030517578,,,,,,,18,18
1636,1.0,1.0,1.0,94.0,753.0,364.0, veçanërisht ,351.1625061035156,710.375,371.1625061035156,807.4250030517578,,,,,,,18,18
1685,1.0,1.0,1.0,94.0,739.0,368.0, veçanërisht ,351.1625061035156,710.375,371.1625061035156,807.4250030517578,,,,,,,18,18
1734,1.0,1.0,1.0,-1.0,726.0,380.0,,,,,,,,,,,,18,18
1784,1.0,1.0,1.0,108.0,712.0,401.0, baticave ,391.1625061035156,703.3375244140625,411.1625061035156,775.3875274658203,,,,,,,18,18
1834,1.0,1.0,1.0,108.0,706.0,411.0, baticave ,391.1625061035156,703.3375244140625,411.1625061035156,775.3875274658203,,,,,,,18,18
1883,1.0,1.0,1.0,108.0,705.0,411.0, baticave ,391.1625061035156,703.3375244140625,411.1625061035156,775.3875274658203,,,,,,,18,18
1932,1.0,1.0,1.0,108.0,706.0,408.0, baticave ,391.1625061035156,703.3375244140625,411.1625061035156,775.3875274658203,,,,,,,18,18
1980,1.0,1.0,1.0,-1.0,719.0,382.0,,,,,,,,,,,,18,18
2030,1.0,1.0,1.0,94.0,733.0,356.0, veçanërisht ,351.1625061035156,710.375,371.1625061035156,807.4250030517578,,,,,,,18,18
2087,1.0,1.0,1.0,94.0,740.0,351.0, veçanërisht ,351.1625061035156,710.375,371.1625061035156,807.4250030517578,,,,,,,18,18
2135,1.0,1.0,1.0,94.0,749.0,357.0, veçanërisht ,351.1625061035156,710.375,371.1625061035156,807.4250030517578,,,,,,,18,18
2183,1.0,1.0,1.0,94.0,754.0,368.0, veçanërisht ,351.1625061035156,710.375,371.1625061035156,807.4250030517578,,,,,,,18,18
2232,1.0,1.0,1.0,-1.0,766.0,382.0,,,,,,,,,,,,18,18
2279,1.0,1.0,1.0,-1.0,769.0,386.0,,,,,,,,,,,,18,18
2330,1.0,1.0,1.0,-1.0,770.0,386.0,,,,,,,,,,,,18,18
2389,1.0,1.0,1.0,-1.0,770.0,386.0,,,,,,,,,,,,18,18
2431,1.0,1.0,1.0,-1.0,769.0,387.0,,,,,,,,,,,,18,18
2520,1.0,1.0,1.0,-1.0,767.0,387.0,,,,,,,,,,,,18,18
2545,1.0,1.0,1.0,-1.0,755.0,380.0,,,,,,,,,,,,18,18
2586,1.0,1.0,1.0,94.0,743.0,370.0, veçanërisht ,351.1625061035156,710.375,371.1625061035156,807.4250030517578,,,,,,,18,18
2635,1.0,1.0,1.0,-1.0,716.0,340.0,,,,,,,,,,,,18,18
2685,1.0,1.0,1.0,-1.0,684.0,301.0,,,,,,,,,,,,18,18
2736,1.0,1.0,1.0,-1.0,651.0,262.0,,,,,,,,,,,,18,18
2787,1.0,1.0,1.0,47.0,628.0,235.0, rrotullimit ,231.1625061035156,566.3125,251.1625061035156,644.3250045776367,,,,,,,18,18
2836,1.0,1.0,1.0,-1.0,618.0,221.0,,,,,,,,,,,,18,18
2885,1.0,1.0,1.0,31.0,599.0,208.0, Hëna ,191.1625061035156,567.9375,211.1625061035156,615.9750022888184,,,,,,,18,18
2935,1.0,1.0,1.0,30.0,557.0,191.0, Tokës. ,191.1625061035156,510.9125061035156,211.1625061035156,567.9375076293945,,,,,,,18,18
2986,1.0,1.0,1.0,-1.0,525.0,175.0,,,,,,,,,,,,18,18
3033,1.0,1.0,1.0,14.0,492.0,155.0, distancë ,151.16250610351562,433.2124938964844,171.16250610351562,505.2624969482422,,,,,,,18,18
3082,1.0,1.0,1.0,-1.0,475.0,143.0,,,,,,,,,,,,18,18
3131,1.0,1.0,1.0,0.0,464.0,132.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
3180,1.0,1.0,1.0,0.0,449.0,111.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
3238,1.0,1.0,1.0,-1.0,440.0,96.0,,,,,,,,,,,,18,18
3286,1.0,1.0,1.0,-1.0,438.0,93.0,,,,,,,,,,,,18,18
3335,1.0,1.0,1.0,-1.0,437.0,93.0,,,,,,,,,,,,18,18
3385,1.0,1.0,1.0,-1.0,437.0,95.0,,,,,,,,,,,,18,18
3435,1.0,1.0,1.0,-1.0,437.0,99.0,,,,,,,,,,,,18,18
3485,1.0,1.0,1.0,-1.0,438.0,106.0,,,,,,,,,,,,18,18
3537,1.0,1.0,1.0,-1.0,438.0,110.0,,,,,,,,,,,,18,18
3584,1.0,1.0,1.0,0.0,438.0,115.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
3635,1.0,1.0,1.0,0.0,438.0,115.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
3685,1.0,1.0,1.0,0.0,438.0,115.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
3735,1.0,1.0,1.0,0.0,438.0,115.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
3785,1.0,1.0,1.0,0.0,438.0,115.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
3836,1.0,1.0,1.0,0.0,441.0,116.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
3886,1.0,1.0,1.0,0.0,451.0,118.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
3937,1.0,1.0,1.0,0.0,454.0,118.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
3987,1.0,1.0,1.0,0.0,454.0,118.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
4029,1.0,1.0,1.0,0.0,456.0,119.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,18,18
