responseTime,Experiment,Condition,ItemId,Index,Word,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
500,1.0,1.0,1.0,106.0, krijimin ,495.0,361.0,346.38543701171875,487.5625,366.3854370117188,548.5625,,,,1733329577300.0,1733330706513.0,1129213.0,13,13
542,1.0,1.0,1.0,-1.0,,498.0,338.0,,,,,,,,,,,13,13
594,1.0,1.0,1.0,-1.0,,500.0,336.0,,,,,,,,,,,13,13
641,1.0,1.0,1.0,-1.0,,500.0,336.0,,,,,,,,,,,13,13
691,1.0,1.0,1.0,-1.0,,500.0,336.0,,,,,,,,,,,13,13
752,1.0,1.0,1.0,-1.0,,500.0,335.0,,,,,,,,,,,13,13
800,1.0,1.0,1.0,-1.0,,500.0,335.0,,,,,,,,,,,13,13
848,1.0,1.0,1.0,93.0," ndikim, ",511.0,329.0,306.38543701171875,508.59375,326.38543701171875,570.6145858764648,,,,,,,13,13
895,1.0,1.0,1.0,93.0," ndikim, ",512.0,326.0,306.38543701171875,508.59375,326.38543701171875,570.6145858764648,,,,,,,13,13
940,1.0,1.0,1.0,93.0," ndikim, ",508.0,322.0,311.71875,508.59375,331.71875,570.6145858764648,,,,,,,13,13
993,1.0,1.0,1.0,-1.0,,505.0,318.0,,,,,,,,,,,13,13
1040,1.0,1.0,1.0,78.0, cikli ,503.0,314.0,299.0520935058594,488.59375,319.0520935058594,523.59375,,,,,,,13,13
1091,1.0,1.0,1.0,78.0, cikli ,502.0,312.0,303.0520935058594,488.59375,323.0520935058594,523.59375,,,,,,,13,13
1139,1.0,1.0,1.0,78.0, cikli ,502.0,312.0,303.0520935058594,488.59375,323.0520935058594,523.59375,,,,,,,13,13
1196,1.0,1.0,1.0,78.0, cikli ,502.0,312.0,303.0520935058594,488.59375,323.0520935058594,523.59375,,,,,,,13,13
1240,1.0,1.0,1.0,78.0, cikli ,496.0,306.0,303.0520935058594,488.59375,323.0520935058594,523.59375,,,,,,,13,13
1289,1.0,1.0,1.0,62.0, me ,474.0,268.0,263.0520935058594,458.53125,283.0520935058594,488.21875,,,,,,,13,13
1340,1.0,1.0,1.0,15.0, mesatare ,438.0,158.0,143.05209350585938,365.5,163.05209350585938,445.5416717529297,,,,,,,13,13
1390,1.0,1.0,1.0,-1.0,,408.0,92.0,,,,,,,,,,,13,13
1442,1.0,1.0,1.0,-1.0,,405.0,76.0,,,,,,,,,,,13,13
1640,1.0,1.0,1.0,-1.0,,304.0,98.0,,,,,,,,,,,13,13
1704,1.0,1.0,1.0,-1.0,,304.0,98.0,,,,,,,,,,,13,13
1752,1.0,1.0,1.0,-1.0,,304.0,98.0,,,,,,,,,,,13,13
1789,1.0,1.0,1.0,-1.0,,299.0,100.0,,,,,,,,,,,13,13
1845,1.0,1.0,1.0,-1.0,,298.0,102.0,,,,,,,,,,,13,13
1889,1.0,1.0,1.0,0.0, Hëna ,298.0,104.0,103.05208587646484,293.44793701171875,123.05208587646484,341.4896049499512,,,,,,,13,13
1939,1.0,1.0,1.0,0.0, Hëna ,301.0,107.0,103.05208587646484,293.44793701171875,123.05208587646484,341.4896049499512,,,,,,,13,13
1990,1.0,1.0,1.0,0.0, Hëna ,303.0,110.0,103.05208587646484,293.44793701171875,123.05208587646484,341.4896049499512,,,,,,,13,13
2040,1.0,1.0,1.0,0.0, Hëna ,304.0,112.0,103.05208587646484,293.44793701171875,123.05208587646484,341.4896049499512,,,,,,,13,13
2089,1.0,1.0,1.0,0.0, Hëna ,305.0,114.0,103.05208587646484,293.44793701171875,123.05208587646484,341.4896049499512,,,,,,,13,13
2144,1.0,1.0,1.0,0.0, Hëna ,305.0,114.0,103.05208587646484,293.44793701171875,123.05208587646484,341.4896049499512,,,,,,,13,13
2192,1.0,1.0,1.0,0.0, Hëna ,306.0,114.0,103.05208587646484,293.44793701171875,123.05208587646484,341.4896049499512,,,,,,,13,13
2241,1.0,1.0,1.0,0.0, Hëna ,306.0,115.0,103.05208587646484,293.44793701171875,123.05208587646484,341.4896049499512,,,,,,,13,13
