responseTime,Experiment,Condition,ItemId,Index,Word,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
378,1.0,1.0,1.0,93.0," ndikim, ",504.0,359.0,340.2375183105469,466.3500061035156,360.2375183105469,528.3750076293945,,,,1733322496785.0,1733323451259.0,954474.0,30,30
427,1.0,1.0,1.0,62.0, me ,428.0,279.0,260.2375183105469,416.2875061035156,280.2375183105469,445.9750061035156,,,,,,,30,30
479,1.0,1.0,1.0,-1.0,,390.0,244.0,,,,,,,,,,,30,30
527,1.0,1.0,1.0,45.0, saj ,364.0,224.0,220.2375030517578,341.2875061035156,240.2375030517578,369.3000068664551,,,,,,,30,30
579,1.0,1.0,1.0,-1.0,,344.0,216.0,,,,,,,,,,,30,30
627,1.0,1.0,1.0,-1.0,,316.0,209.0,,,,,,,,,,,30,30
679,1.0,1.0,1.0,28.0, diametri ,266.0,199.0,180.2375030517578,251.21250915527344,200.2375030517578,320.23751068115234,,,,,,,30,30
730,1.0,1.0,1.0,-1.0,,206.0,175.0,,,,,,,,,,,30,30
779,1.0,1.0,1.0,-1.0,,194.0,157.0,,,,,,,,,,,30,30
833,1.0,1.0,1.0,-1.0,,210.0,131.0,,,,,,,,,,,30,30
879,1.0,1.0,1.0,-1.0,,220.0,117.0,,,,,,,,,,,30,30
929,1.0,1.0,1.0,-1.0,,221.0,112.0,,,,,,,,,,,30,30
978,1.0,1.0,1.0,-1.0,,226.0,102.0,,,,,,,,,,,30,30
1027,1.0,1.0,1.0,-1.0,,230.0,101.0,,,,,,,,,,,30,30
1079,1.0,1.0,1.0,-1.0,,236.0,98.0,,,,,,,,,,,30,30
1130,1.0,1.0,1.0,-1.0,,236.0,98.0,,,,,,,,,,,30,30
1178,1.0,1.0,1.0,-1.0,,240.0,101.0,,,,,,,,,,,30,30
1231,1.0,1.0,1.0,-1.0,,244.0,103.0,,,,,,,,,,,30,30
1281,1.0,1.0,1.0,-1.0,,250.0,104.0,,,,,,,,,,,30,30
1328,1.0,1.0,1.0,0.0, Hëna ,252.0,105.0,100.2375030517578,251.21250915527344,120.2375030517578,299.2500114440918,,,,,,,30,30
1378,1.0,1.0,1.0,0.0, Hëna ,254.0,106.0,100.2375030517578,251.21250915527344,120.2375030517578,299.2500114440918,,,,,,,30,30
1427,1.0,1.0,1.0,0.0, Hëna ,256.0,107.0,100.2375030517578,251.21250915527344,120.2375030517578,299.2500114440918,,,,,,,30,30
1480,1.0,1.0,1.0,0.0, Hëna ,257.0,108.0,100.2375030517578,251.21250915527344,120.2375030517578,299.2500114440918,,,,,,,30,30
