responseTime,Experiment,Condition,ItemId,Index,Word,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
464,1.0,1.0,1.0,106.0, krijimin ,405.0,359.0,346.171875,368.0,366.171875,429.0,,,,1733303633099.0,1733304227889.0,594790.0,25,25
493,1.0,1.0,1.0,106.0, krijimin ,395.0,353.0,346.171875,368.0,366.171875,429.0,,,,,,,25,25
540,1.0,1.0,1.0,91.0, më ,347.0,320.0,306.171875,329.0,326.171875,359.015625,,,,,,,25,25
593,1.0,1.0,1.0,60.0, së ,262.0,245.0,226.171875,252.890625,246.171875,276.90625,,,,,,,25,25
652,1.0,1.0,1.0,-1.0,,239.0,214.0,,,,,,,,,,,25,25
691,1.0,1.0,1.0,28.0, diametri ,190.0,146.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
749,1.0,1.0,1.0,-1.0,,169.0,119.0,,,,,,,,,,,25,25
791,1.0,1.0,1.0,-1.0,,155.0,107.0,,,,,,,,,,,25,25
844,1.0,1.0,1.0,-1.0,,154.0,104.0,,,,,,,,,,,25,25
891,1.0,1.0,1.0,-1.0,,154.0,102.0,,,,,,,,,,,25,25
944,1.0,1.0,1.0,-1.0,,154.0,97.0,,,,,,,,,,,25,25
990,1.0,1.0,1.0,-1.0,,154.0,97.0,,,,,,,,,,,25,25
1051,1.0,1.0,1.0,-1.0,,161.0,93.0,,,,,,,,,,,25,25
1091,1.0,1.0,1.0,-1.0,,167.0,91.0,,,,,,,,,,,25,25
1148,1.0,1.0,1.0,0.0, Hëna ,178.0,85.0,66.171875,173.875,86.171875,221.921875,,,,,,,25,25
1192,1.0,1.0,1.0,0.0, Hëna ,178.0,85.0,66.171875,173.875,86.171875,221.921875,,,,,,,25,25
1249,1.0,1.0,1.0,0.0, Hëna ,178.0,85.0,66.171875,173.875,86.171875,221.921875,,,,,,,25,25
1292,1.0,1.0,1.0,0.0, Hëna ,178.0,85.0,66.171875,173.875,86.171875,221.921875,,,,,,,25,25
1352,1.0,1.0,1.0,0.0, Hëna ,178.0,85.0,66.171875,173.875,86.171875,221.921875,,,,,,,25,25
1389,1.0,1.0,1.0,0.0, Hëna ,180.0,84.0,66.171875,173.875,86.171875,221.921875,,,,,,,25,25
1450,1.0,1.0,1.0,0.0, Hëna ,209.0,78.0,66.171875,173.875,86.171875,221.921875,,,,,,,25,25
1488,1.0,1.0,1.0,0.0, Hëna ,214.0,78.0,66.171875,173.875,86.171875,221.921875,,,,,,,25,25
1540,1.0,1.0,1.0,1.0, është ,242.0,77.0,66.171875,221.921875,86.171875,270.96875,,,,,,,25,25
1588,1.0,1.0,1.0,2.0, sateliti ,272.0,77.0,66.171875,270.96875,86.171875,327.0,,,,,,,25,25
1640,1.0,1.0,1.0,2.0, sateliti ,276.0,77.0,66.171875,270.96875,86.171875,327.0,,,,,,,25,25
1690,1.0,1.0,1.0,2.0, sateliti ,282.0,77.0,66.171875,270.96875,86.171875,327.0,,,,,,,25,25
1741,1.0,1.0,1.0,2.0, sateliti ,284.0,77.0,66.171875,270.96875,86.171875,327.0,,,,,,,25,25
1790,1.0,1.0,1.0,2.0, sateliti ,291.0,77.0,66.171875,270.96875,86.171875,327.0,,,,,,,25,25
1842,1.0,1.0,1.0,2.0, sateliti ,311.0,77.0,66.171875,270.96875,86.171875,327.0,,,,,,,25,25
1890,1.0,1.0,1.0,3.0, i ,327.0,77.0,66.171875,327.0,86.171875,336.0,,,,,,,25,25
1950,1.0,1.0,1.0,4.0, vetëm ,354.0,77.0,66.171875,336.0,86.171875,390.03125,,,,,,,25,25
1990,1.0,1.0,1.0,4.0, vetëm ,377.0,77.0,66.171875,336.0,86.171875,390.03125,,,,,,,25,25
2042,1.0,1.0,1.0,4.0, vetëm ,386.0,77.0,66.171875,336.0,86.171875,390.03125,,,,,,,25,25
2090,1.0,1.0,1.0,5.0, natyror ,400.0,77.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2149,1.0,1.0,1.0,5.0, natyror ,412.0,78.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2189,1.0,1.0,1.0,5.0, natyror ,426.0,79.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2240,1.0,1.0,1.0,5.0, natyror ,431.0,79.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2293,1.0,1.0,1.0,5.0, natyror ,432.0,79.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2346,1.0,1.0,1.0,5.0, natyror ,424.0,83.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2396,1.0,1.0,1.0,5.0, natyror ,424.0,83.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2443,1.0,1.0,1.0,5.0, natyror ,424.0,83.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2493,1.0,1.0,1.0,5.0, natyror ,424.0,83.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2543,1.0,1.0,1.0,5.0, natyror ,424.0,83.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2593,1.0,1.0,1.0,5.0, natyror ,423.0,87.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2639,1.0,1.0,1.0,5.0, natyror ,417.0,87.0,66.171875,390.03125,86.171875,451.0625,,,,,,,25,25
2688,1.0,1.0,1.0,-1.0,,412.0,91.0,,,,,,,,,,,25,25
2744,1.0,1.0,1.0,-1.0,,436.0,97.0,,,,,,,,,,,25,25
2788,1.0,1.0,1.0,-1.0,,440.0,94.0,,,,,,,,,,,25,25
2848,1.0,1.0,1.0,-1.0,,494.0,91.0,,,,,,,,,,,25,25
2888,1.0,1.0,1.0,-1.0,,494.0,91.0,,,,,,,,,,,25,25
2944,1.0,1.0,1.0,-1.0,,500.0,91.0,,,,,,,,,,,25,25
2988,1.0,1.0,1.0,-1.0,,506.0,90.0,,,,,,,,,,,25,25
3045,1.0,1.0,1.0,7.0, Tokës. ,512.0,83.0,66.171875,459.75,86.171875,515.78125,,,,,,,25,25
3088,1.0,1.0,1.0,8.0, Ajo ,520.0,76.0,66.171875,515.78125,86.171875,546.8125,,,,,,,25,25
3139,1.0,1.0,1.0,8.0, Ajo ,520.0,76.0,66.171875,515.78125,86.171875,546.8125,,,,,,,25,25
3191,1.0,1.0,1.0,8.0, Ajo ,538.0,70.0,66.171875,515.78125,86.171875,546.8125,,,,,,,25,25
3248,1.0,1.0,1.0,8.0, Ajo ,542.0,70.0,66.171875,515.78125,86.171875,546.8125,,,,,,,25,25
3291,1.0,1.0,1.0,9.0, rrotullohet ,553.0,73.0,66.171875,546.8125,86.171875,631.859375,,,,,,,25,25
3348,1.0,1.0,1.0,9.0, rrotullohet ,561.0,73.0,66.171875,546.8125,86.171875,631.859375,,,,,,,25,25
3391,1.0,1.0,1.0,9.0, rrotullohet ,571.0,73.0,66.171875,546.8125,86.171875,631.859375,,,,,,,25,25
3447,1.0,1.0,1.0,9.0, rrotullohet ,591.0,73.0,66.171875,546.8125,86.171875,631.859375,,,,,,,25,25
3489,1.0,1.0,1.0,9.0, rrotullohet ,602.0,72.0,66.171875,546.8125,86.171875,631.859375,,,,,,,25,25
3547,1.0,1.0,1.0,9.0, rrotullohet ,605.0,71.0,66.171875,546.8125,86.171875,631.859375,,,,,,,25,25
3589,1.0,1.0,1.0,10.0, rreth ,656.0,71.0,66.171875,631.859375,86.171875,673.546875,,,,,,,25,25
3640,1.0,1.0,1.0,10.0, rreth ,658.0,71.0,66.171875,631.859375,86.171875,673.546875,,,,,,,25,25
3689,1.0,1.0,1.0,10.0, rreth ,668.0,69.0,66.171875,631.859375,86.171875,673.546875,,,,,,,25,25
3744,1.0,1.0,1.0,11.0, Tokës ,675.0,68.0,66.171875,673.546875,86.171875,725.578125,,,,,,,25,25
3791,1.0,1.0,1.0,11.0, Tokës ,714.0,68.0,66.171875,673.546875,86.171875,725.578125,,,,,,,25,25
3841,1.0,1.0,1.0,11.0, Tokës ,718.0,68.0,66.171875,673.546875,86.171875,725.578125,,,,,,,25,25
3890,1.0,1.0,1.0,12.0, në ,746.0,68.0,66.171875,725.578125,86.171875,750.609375,,,,,,,25,25
3946,1.0,1.0,1.0,13.0, një ,756.0,68.0,66.171875,750.609375,86.171875,774.640625,,,,,,,25,25
3989,1.0,1.0,1.0,13.0, një ,757.0,68.0,66.171875,750.609375,86.171875,774.640625,,,,,,,25,25
4042,1.0,1.0,1.0,13.0, një ,759.0,68.0,66.171875,750.609375,86.171875,774.640625,,,,,,,25,25
4092,1.0,1.0,1.0,13.0, një ,760.0,68.0,66.171875,750.609375,86.171875,774.640625,,,,,,,25,25
4143,1.0,1.0,1.0,13.0, një ,755.0,68.0,66.171875,750.609375,86.171875,774.640625,,,,,,,25,25
4190,1.0,1.0,1.0,2.0, sateliti ,314.0,75.0,66.171875,270.96875,86.171875,327.0,,,,,,,25,25
4445,1.0,1.0,1.0,-1.0,,106.0,114.0,,,,,,,,,,,25,25
4488,1.0,1.0,1.0,-1.0,,145.0,114.0,,,,,,,,,,,25,25
4545,1.0,1.0,1.0,-1.0,,145.0,114.0,,,,,,,,,,,25,25
4588,1.0,1.0,1.0,-1.0,,145.0,114.0,,,,,,,,,,,25,25
4645,1.0,1.0,1.0,-1.0,,147.0,114.0,,,,,,,,,,,25,25
4692,1.0,1.0,1.0,14.0, distancë ,186.0,114.0,106.171875,173.875,126.171875,245.921875,,,,,,,25,25
4746,1.0,1.0,1.0,14.0, distancë ,195.0,114.0,106.171875,173.875,126.171875,245.921875,,,,,,,25,25
4788,1.0,1.0,1.0,14.0, distancë ,195.0,114.0,106.171875,173.875,126.171875,245.921875,,,,,,,25,25
4844,1.0,1.0,1.0,14.0, distancë ,195.0,114.0,106.171875,173.875,126.171875,245.921875,,,,,,,25,25
4888,1.0,1.0,1.0,14.0, distancë ,195.0,114.0,106.171875,173.875,126.171875,245.921875,,,,,,,25,25
4945,1.0,1.0,1.0,14.0, distancë ,195.0,114.0,106.171875,173.875,126.171875,245.921875,,,,,,,25,25
4988,1.0,1.0,1.0,14.0, distancë ,220.0,119.0,106.171875,173.875,126.171875,245.921875,,,,,,,25,25
5044,1.0,1.0,1.0,-1.0,,248.0,131.0,,,,,,,,,,,25,25
5089,1.0,1.0,1.0,-1.0,,249.0,131.0,,,,,,,,,,,25,25
5144,1.0,1.0,1.0,-1.0,,249.0,131.0,,,,,,,,,,,25,25
5190,1.0,1.0,1.0,-1.0,,253.0,131.0,,,,,,,,,,,25,25
5238,1.0,1.0,1.0,-1.0,,256.0,131.0,,,,,,,,,,,25,25
5288,1.0,1.0,1.0,15.0, mesatare ,275.0,126.0,106.171875,245.921875,126.171875,325.96875,,,,,,,25,25
5344,1.0,1.0,1.0,15.0, mesatare ,283.0,124.0,106.171875,245.921875,126.171875,325.96875,,,,,,,25,25
5389,1.0,1.0,1.0,15.0, mesatare ,289.0,124.0,106.171875,245.921875,126.171875,325.96875,,,,,,,25,25
5444,1.0,1.0,1.0,15.0, mesatare ,293.0,124.0,106.171875,245.921875,126.171875,325.96875,,,,,,,25,25
5488,1.0,1.0,1.0,16.0, prej ,333.0,124.0,106.171875,325.96875,126.171875,360.984375,,,,,,,25,25
5544,1.0,1.0,1.0,16.0, prej ,335.0,124.0,106.171875,325.96875,126.171875,360.984375,,,,,,,25,25
5590,1.0,1.0,1.0,16.0, prej ,336.0,124.0,106.171875,325.96875,126.171875,360.984375,,,,,,,25,25
5644,1.0,1.0,1.0,16.0, prej ,337.0,124.0,106.171875,325.96875,126.171875,360.984375,,,,,,,25,25
5689,1.0,1.0,1.0,16.0, prej ,350.0,120.0,106.171875,325.96875,126.171875,360.984375,,,,,,,25,25
5744,1.0,1.0,1.0,16.0, prej ,353.0,119.0,106.171875,325.96875,126.171875,360.984375,,,,,,,25,25
5790,1.0,1.0,1.0,17.0, 384400 ,385.0,118.0,106.171875,360.984375,126.171875,426.0625,,,,,,,25,25
5838,1.0,1.0,1.0,17.0, 384400 ,392.0,118.0,106.171875,360.984375,126.171875,426.0625,,,,,,,25,25
5888,1.0,1.0,1.0,17.0, 384400 ,394.0,117.0,106.171875,360.984375,126.171875,426.0625,,,,,,,25,25
5939,1.0,1.0,1.0,17.0, 384400 ,398.0,115.0,106.171875,360.984375,126.171875,426.0625,,,,,,,25,25
5988,1.0,1.0,1.0,17.0, 384400 ,411.0,115.0,106.171875,360.984375,126.171875,426.0625,,,,,,,25,25
6040,1.0,1.0,1.0,17.0, 384400 ,420.0,115.0,106.171875,360.984375,126.171875,426.0625,,,,,,,25,25
6088,1.0,1.0,1.0,18.0, km ,437.0,115.0,106.171875,426.0625,126.171875,455.0625,,,,,,,25,25
6143,1.0,1.0,1.0,18.0, km ,452.0,115.0,106.171875,426.0625,126.171875,455.0625,,,,,,,25,25
6189,1.0,1.0,1.0,19.0, (238900 ,460.0,117.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6243,1.0,1.0,1.0,19.0, (238900 ,476.0,119.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6288,1.0,1.0,1.0,19.0, (238900 ,487.0,117.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6342,1.0,1.0,1.0,19.0, (238900 ,489.0,117.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6388,1.0,1.0,1.0,19.0, (238900 ,502.0,117.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6442,1.0,1.0,1.0,19.0, (238900 ,522.0,122.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6488,1.0,1.0,1.0,20.0, mi; ,529.0,123.0,106.171875,526.125,126.171875,555.125,,,,,,,25,25
6540,1.0,1.0,1.0,19.0, (238900 ,522.0,121.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6602,1.0,1.0,1.0,20.0, mi; ,526.0,111.0,106.171875,526.125,126.171875,555.125,,,,,,,25,25
6657,1.0,1.0,1.0,20.0, mi; ,526.0,111.0,106.171875,526.125,126.171875,555.125,,,,,,,25,25
6716,1.0,1.0,1.0,20.0, mi; ,526.0,111.0,106.171875,526.125,126.171875,555.125,,,,,,,25,25
6741,1.0,1.0,1.0,20.0, mi; ,526.0,110.0,106.171875,526.125,126.171875,555.125,,,,,,,25,25
6788,1.0,1.0,1.0,19.0, (238900 ,523.0,109.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6842,1.0,1.0,1.0,19.0, (238900 ,516.0,110.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6899,1.0,1.0,1.0,19.0, (238900 ,515.0,113.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6941,1.0,1.0,1.0,19.0, (238900 ,515.0,113.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
6991,1.0,1.0,1.0,19.0, (238900 ,515.0,113.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
7041,1.0,1.0,1.0,19.0, (238900 ,514.0,110.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
7089,1.0,1.0,1.0,20.0, mi; ,535.0,107.0,106.171875,526.125,126.171875,555.125,,,,,,,25,25
7141,1.0,1.0,1.0,22.0," ls), ",600.0,113.0,106.171875,595.171875,126.171875,624.171875,,,,,,,25,25
7201,1.0,1.0,1.0,23.0, ose ,630.0,116.0,106.171875,624.171875,126.171875,658.203125,,,,,,,25,25
7241,1.0,1.0,1.0,23.0, ose ,632.0,116.0,106.171875,624.171875,126.171875,658.203125,,,,,,,25,25
7290,1.0,1.0,1.0,23.0, ose ,655.0,116.0,106.171875,624.171875,126.171875,658.203125,,,,,,,25,25
7338,1.0,1.0,1.0,23.0, ose ,657.0,116.0,106.171875,624.171875,126.171875,658.203125,,,,,,,25,25
7401,1.0,1.0,1.0,24.0, rreth ,662.0,116.0,106.171875,658.203125,126.171875,700.21875,,,,,,,25,25
7441,1.0,1.0,1.0,24.0, rreth ,669.0,116.0,106.171875,658.203125,126.171875,700.21875,,,,,,,25,25
7501,1.0,1.0,1.0,24.0, rreth ,680.0,116.0,106.171875,658.203125,126.171875,700.21875,,,,,,,25,25
7540,1.0,1.0,1.0,25.0, 30 ,703.0,116.0,106.171875,700.21875,126.171875,725.25,,,,,,,25,25
7592,1.0,1.0,1.0,25.0, 30 ,711.0,114.0,106.171875,700.21875,126.171875,725.25,,,,,,,25,25
7640,1.0,1.0,1.0,25.0, 30 ,719.0,112.0,106.171875,700.21875,126.171875,725.25,,,,,,,25,25
7688,1.0,1.0,1.0,25.0, 30 ,723.0,112.0,106.171875,700.21875,126.171875,725.25,,,,,,,25,25
7740,1.0,1.0,1.0,26.0, herë ,764.0,112.0,106.171875,725.25,126.171875,766.28125,,,,,,,25,25
7800,1.0,1.0,1.0,-1.0,,799.0,112.0,,,,,,,,,,,25,25
7840,1.0,1.0,1.0,-1.0,,799.0,112.0,,,,,,,,,,,25,25
7900,1.0,1.0,1.0,-1.0,,799.0,112.0,,,,,,,,,,,25,25
7940,1.0,1.0,1.0,-1.0,,799.0,112.0,,,,,,,,,,,25,25
7999,1.0,1.0,1.0,-1.0,,799.0,112.0,,,,,,,,,,,25,25
8039,1.0,1.0,1.0,-1.0,,799.0,112.0,,,,,,,,,,,25,25
8095,1.0,1.0,1.0,-1.0,,796.0,112.0,,,,,,,,,,,25,25
8140,1.0,1.0,1.0,27.0, sa ,780.0,114.0,106.171875,766.28125,126.171875,785.296875,,,,,,,25,25
8192,1.0,1.0,1.0,22.0," ls), ",621.0,114.0,106.171875,595.171875,126.171875,624.171875,,,,,,,25,25
8239,1.0,1.0,1.0,19.0, (238900 ,521.0,125.0,106.171875,455.0625,126.171875,526.125,,,,,,,25,25
8299,1.0,1.0,1.0,-1.0,,375.0,130.0,,,,,,,,,,,25,25
8339,1.0,1.0,1.0,-1.0,,340.0,130.0,,,,,,,,,,,25,25
8399,1.0,1.0,1.0,-1.0,,311.0,137.0,,,,,,,,,,,25,25
8439,1.0,1.0,1.0,28.0, diametri ,238.0,157.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8497,1.0,1.0,1.0,28.0, diametri ,219.0,159.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8538,1.0,1.0,1.0,28.0, diametri ,201.0,164.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8597,1.0,1.0,1.0,28.0, diametri ,191.0,165.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8638,1.0,1.0,1.0,28.0, diametri ,191.0,165.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8697,1.0,1.0,1.0,28.0, diametri ,191.0,165.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8738,1.0,1.0,1.0,28.0, diametri ,191.0,165.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8797,1.0,1.0,1.0,28.0, diametri ,191.0,165.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8838,1.0,1.0,1.0,28.0, diametri ,188.0,165.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8891,1.0,1.0,1.0,28.0, diametri ,188.0,165.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8938,1.0,1.0,1.0,28.0, diametri ,188.0,165.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
8994,1.0,1.0,1.0,28.0, diametri ,188.0,165.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
9038,1.0,1.0,1.0,28.0, diametri ,198.0,162.0,146.171875,173.875,166.171875,242.90625,,,,,,,25,25
9097,1.0,1.0,1.0,30.0, Tokës. ,253.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9151,1.0,1.0,1.0,30.0, Tokës. ,285.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9189,1.0,1.0,1.0,30.0, Tokës. ,285.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9248,1.0,1.0,1.0,30.0, Tokës. ,285.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9299,1.0,1.0,1.0,30.0, Tokës. ,285.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9348,1.0,1.0,1.0,30.0, Tokës. ,285.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9398,1.0,1.0,1.0,30.0, Tokës. ,286.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9456,1.0,1.0,1.0,30.0, Tokës. ,286.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9502,1.0,1.0,1.0,30.0, Tokës. ,286.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9549,1.0,1.0,1.0,30.0, Tokës. ,286.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9600,1.0,1.0,1.0,30.0, Tokës. ,286.0,158.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9640,1.0,1.0,1.0,30.0, Tokës. ,287.0,157.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9697,1.0,1.0,1.0,30.0, Tokës. ,291.0,156.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9745,1.0,1.0,1.0,30.0, Tokës. ,291.0,156.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9793,1.0,1.0,1.0,30.0, Tokës. ,296.0,154.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9838,1.0,1.0,1.0,30.0, Tokës. ,300.0,154.0,146.171875,251.59375,166.171875,308.625,,,,,,,25,25
9895,1.0,1.0,1.0,31.0, Hëna ,322.0,153.0,146.171875,308.625,166.171875,356.671875,,,,,,,25,25
9940,1.0,1.0,1.0,31.0, Hëna ,333.0,153.0,146.171875,308.625,166.171875,356.671875,,,,,,,25,25
9996,1.0,1.0,1.0,31.0, Hëna ,338.0,153.0,146.171875,308.625,166.171875,356.671875,,,,,,,25,25
10040,1.0,1.0,1.0,31.0, Hëna ,346.0,153.0,146.171875,308.625,166.171875,356.671875,,,,,,,25,25
10097,1.0,1.0,1.0,31.0, Hëna ,350.0,155.0,146.171875,308.625,166.171875,356.671875,,,,,,,25,25
10138,1.0,1.0,1.0,32.0, përballet ,370.0,160.0,146.171875,356.671875,166.171875,430.734375,,,,,,,25,25
10194,1.0,1.0,1.0,32.0, përballet ,378.0,162.0,146.171875,356.671875,166.171875,430.734375,,,,,,,25,25
10238,1.0,1.0,1.0,32.0, përballet ,380.0,162.0,146.171875,356.671875,166.171875,430.734375,,,,,,,25,25
10296,1.0,1.0,1.0,32.0, përballet ,382.0,162.0,146.171875,356.671875,166.171875,430.734375,,,,,,,25,25
