responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
939,1.0,1.0,1.0,-1.0,640.0,380.0,,,,,,,,,1733263244428.0,1733264158394.0,913966.0,2,2
980,1.0,1.0,1.0,-1.0,622.0,331.0,,,,,,,,,,,,2,2
1031,1.0,1.0,1.0,-1.0,604.0,293.0,,,,,,,,,,,,2,2
1081,1.0,1.0,1.0,80.0,591.0,268.0, fazave ,265.91668701171875,535.9271240234375,285.91668701171875,593.9687919616699,,,,,,,2,2
1130,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,265.91668701171875,535.9271240234375,285.91668701171875,593.9687919616699,,,,,,,2,2
1180,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,265.91668701171875,535.9271240234375,285.91668701171875,593.9687919616699,,,,,,,2,2
1230,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,265.91668701171875,535.9271240234375,285.91668701171875,593.9687919616699,,,,,,,2,2
1280,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,265.91668701171875,535.9271240234375,285.91668701171875,593.9687919616699,,,,,,,2,2
1330,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,265.91668701171875,535.9271240234375,285.91668701171875,593.9687919616699,,,,,,,2,2
1381,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,301.91668701171875,535.9271240234375,321.91668701171875,593.9687919616699,,,,,,,2,2
1436,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,303.25,535.9271240234375,323.25,593.9687919616699,,,,,,,2,2
1486,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,303.25,535.9271240234375,323.25,593.9687919616699,,,,,,,2,2
1530,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,303.25,535.9271240234375,323.25,593.9687919616699,,,,,,,2,2
1583,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,303.25,535.9271240234375,323.25,593.9687919616699,,,,,,,2,2
1631,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,303.25,535.9271240234375,323.25,593.9687919616699,,,,,,,2,2
1691,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,303.25,535.9271240234375,323.25,593.9687919616699,,,,,,,2,2
1730,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,303.25,535.9271240234375,323.25,593.9687919616699,,,,,,,2,2
1781,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,303.25,535.9271240234375,323.25,593.9687919616699,,,,,,,2,2
1831,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,303.25,535.9271240234375,323.25,593.9687919616699,,,,,,,2,2
1894,1.0,1.0,1.0,80.0,590.0,267.0, fazave ,303.25,535.9271240234375,323.25,593.9687919616699,,,,,,,2,2
1932,1.0,1.0,1.0,50.0,573.0,239.0, barabartë ,223.25,571.9791870117188,243.25,654.0416870117188,,,,,,,2,2
1980,1.0,1.0,1.0,16.0,478.0,151.0, prej ,143.25,448.875,163.25,483.8958358764648,,,,,,,2,2
2030,1.0,1.0,1.0,2.0,404.0,109.0, sateliti ,103.25,393.8645935058594,123.25,449.8958435058594,,,,,,,2,2
2080,1.0,1.0,1.0,-1.0,342.0,80.0,,,,,,,,,,,,2,2
2232,1.0,1.0,1.0,-1.0,278.0,78.0,,,,,,,,,,,,2,2
2282,1.0,1.0,1.0,-1.0,268.0,101.0,,,,,,,,,,,,2,2
2330,1.0,1.0,1.0,-1.0,265.0,113.0,,,,,,,,,,,,2,2
2380,1.0,1.0,1.0,-1.0,269.0,120.0,,,,,,,,,,,,2,2
2430,1.0,1.0,1.0,-1.0,281.0,125.0,,,,,,,,,,,,2,2
2480,1.0,1.0,1.0,-1.0,290.0,125.0,,,,,,,,,,,,2,2
2530,1.0,1.0,1.0,0.0,298.0,120.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
2580,1.0,1.0,1.0,0.0,301.0,116.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
2630,1.0,1.0,1.0,0.0,301.0,116.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
2680,1.0,1.0,1.0,0.0,301.0,116.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
2730,1.0,1.0,1.0,0.0,301.0,116.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
2781,1.0,1.0,1.0,0.0,302.0,115.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
2832,1.0,1.0,1.0,0.0,306.0,112.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
2880,1.0,1.0,1.0,0.0,315.0,109.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
2930,1.0,1.0,1.0,0.0,324.0,107.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
2981,1.0,1.0,1.0,0.0,328.0,107.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
3031,1.0,1.0,1.0,0.0,333.0,107.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
3080,1.0,1.0,1.0,0.0,339.0,107.0, Hëna ,103.25,296.78125,123.25,344.8229179382324,,,,,,,2,2
3130,1.0,1.0,1.0,1.0,346.0,109.0, është ,103.25,344.82293701171875,123.25,393.8646049499512,,,,,,,2,2
3181,1.0,1.0,1.0,1.0,350.0,109.0, është ,103.25,344.82293701171875,123.25,393.8646049499512,,,,,,,2,2
3232,1.0,1.0,1.0,1.0,352.0,110.0, është ,103.25,344.82293701171875,123.25,393.8646049499512,,,,,,,2,2
3283,1.0,1.0,1.0,1.0,356.0,111.0, është ,103.25,344.82293701171875,123.25,393.8646049499512,,,,,,,2,2
3333,1.0,1.0,1.0,1.0,362.0,112.0, është ,103.25,344.82293701171875,123.25,393.8646049499512,,,,,,,2,2
3392,1.0,1.0,1.0,1.0,368.0,112.0, është ,103.25,344.82293701171875,123.25,393.8646049499512,,,,,,,2,2
