responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
888,1.0,1.0,1.0,-1.0,428.0,386.0,,,,,,,,,1734633598448.0,1734634256972.0,658524.0,38,38
940,1.0,1.0,1.0,-1.0,392.0,278.0,,,,,,,,,,,,38,38
988,1.0,1.0,1.0,-1.0,392.0,272.0,,,,,,,,,,,,38,38
1038,1.0,1.0,1.0,-1.0,392.0,272.0,,,,,,,,,,,,38,38
1088,1.0,1.0,1.0,-1.0,392.0,272.0,,,,,,,,,,,,38,38
1139,1.0,1.0,1.0,-1.0,392.0,272.0,,,,,,,,,,,,38,38
1189,1.0,1.0,1.0,-1.0,392.0,272.0,,,,,,,,,,,,38,38
1241,1.0,1.0,1.0,-1.0,385.0,252.0,,,,,,,,,,,,38,38
1289,1.0,1.0,1.0,-1.0,385.0,192.0,,,,,,,,,,,,38,38
1339,1.0,1.0,1.0,-1.0,396.0,132.0,,,,,,,,,,,,38,38
1389,1.0,1.0,1.0,-1.0,408.0,107.0,,,,,,,,,,,,38,38
1439,1.0,1.0,1.0,-1.0,414.0,99.0,,,,,,,,,,,,38,38
1489,1.0,1.0,1.0,-1.0,417.0,95.0,,,,,,,,,,,,38,38
1541,1.0,1.0,1.0,-1.0,418.0,94.0,,,,,,,,,,,,38,38
1588,1.0,1.0,1.0,-1.0,420.0,94.0,,,,,,,,,,,,38,38
1639,1.0,1.0,1.0,-1.0,422.0,97.0,,,,,,,,,,,,38,38
1688,1.0,1.0,1.0,-1.0,424.0,100.0,,,,,,,,,,,,38,38
1739,1.0,1.0,1.0,-1.0,425.0,106.0,,,,,,,,,,,,38,38
1796,1.0,1.0,1.0,-1.0,428.0,111.0,,,,,,,,,,,,38,38
1838,1.0,1.0,1.0,-1.0,429.0,113.0,,,,,,,,,,,,38,38
1888,1.0,1.0,1.0,-1.0,432.0,115.0,,,,,,,,,,,,38,38
1938,1.0,1.0,1.0,0.0,436.0,116.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
1988,1.0,1.0,1.0,0.0,438.0,119.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2047,1.0,1.0,1.0,0.0,438.0,119.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2094,1.0,1.0,1.0,0.0,438.0,119.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2138,1.0,1.0,1.0,0.0,438.0,119.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2189,1.0,1.0,1.0,0.0,438.0,119.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2251,1.0,1.0,1.0,0.0,438.0,119.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2298,1.0,1.0,1.0,0.0,438.0,119.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2345,1.0,1.0,1.0,0.0,438.0,119.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2391,1.0,1.0,1.0,0.0,444.0,123.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2439,1.0,1.0,1.0,0.0,448.0,125.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2501,1.0,1.0,1.0,0.0,449.0,127.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2542,1.0,1.0,1.0,0.0,450.0,127.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2588,1.0,1.0,1.0,0.0,452.0,127.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2640,1.0,1.0,1.0,0.0,454.0,128.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2688,1.0,1.0,1.0,0.0,456.0,128.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2742,1.0,1.0,1.0,0.0,461.0,128.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2791,1.0,1.0,1.0,0.0,478.0,127.0, Hëna ,111.1624984741211,433.2124938964844,131.1624984741211,481.24999618530273,,,,,,,38,38
2842,1.0,1.0,1.0,1.0,486.0,127.0, është ,111.1624984741211,481.25,131.1624984741211,530.2875022888184,,,,,,,38,38
2888,1.0,1.0,1.0,1.0,492.0,127.0, është ,111.1624984741211,481.25,131.1624984741211,530.2875022888184,,,,,,,38,38
2943,1.0,1.0,1.0,1.0,498.0,127.0, është ,111.1624984741211,481.25,131.1624984741211,530.2875022888184,,,,,,,38,38
2998,1.0,1.0,1.0,1.0,504.0,127.0, është ,111.1624984741211,481.25,131.1624984741211,530.2875022888184,,,,,,,38,38
3042,1.0,1.0,1.0,1.0,509.0,127.0, është ,111.1624984741211,481.25,131.1624984741211,530.2875022888184,,,,,,,38,38
3092,1.0,1.0,1.0,1.0,512.0,128.0, është ,111.1624984741211,481.25,131.1624984741211,530.2875022888184,,,,,,,38,38
3138,1.0,1.0,1.0,1.0,518.0,128.0, është ,111.1624984741211,481.25,131.1624984741211,530.2875022888184,,,,,,,38,38
3193,1.0,1.0,1.0,2.0,531.0,128.0, sateliti ,111.1624984741211,530.2875366210938,131.1624984741211,586.3125381469727,,,,,,,38,38
3242,1.0,1.0,1.0,2.0,536.0,127.0, sateliti ,111.1624984741211,530.2875366210938,131.1624984741211,586.3125381469727,,,,,,,38,38
3292,1.0,1.0,1.0,2.0,548.0,127.0, sateliti ,111.1624984741211,530.2875366210938,131.1624984741211,586.3125381469727,,,,,,,38,38
3342,1.0,1.0,1.0,2.0,557.0,127.0, sateliti ,111.1624984741211,530.2875366210938,131.1624984741211,586.3125381469727,,,,,,,38,38
3391,1.0,1.0,1.0,2.0,563.0,127.0, sateliti ,111.1624984741211,530.2875366210938,131.1624984741211,586.3125381469727,,,,,,,38,38
3438,1.0,1.0,1.0,2.0,568.0,127.0, sateliti ,111.1624984741211,530.2875366210938,131.1624984741211,586.3125381469727,,,,,,,38,38
3494,1.0,1.0,1.0,2.0,576.0,127.0, sateliti ,111.1624984741211,530.2875366210938,131.1624984741211,586.3125381469727,,,,,,,38,38
3542,1.0,1.0,1.0,2.0,581.0,127.0, sateliti ,111.1624984741211,530.2875366210938,131.1624984741211,586.3125381469727,,,,,,,38,38
3588,1.0,1.0,1.0,2.0,583.0,127.0, sateliti ,111.1624984741211,530.2875366210938,131.1624984741211,586.3125381469727,,,,,,,38,38
3640,1.0,1.0,1.0,2.0,583.0,127.0, sateliti ,111.1624984741211,530.2875366210938,131.1624984741211,586.3125381469727,,,,,,,38,38
