responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,hand,device,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
1400,1.0,1.0,1.0,-1.0,362.0,139.0,,,,,,,,,1734635115003.0,1734635943928.0,828925.0,37,37
1462,1.0,1.0,1.0,-1.0,385.0,114.0,,,,,,,,,,,,37,37
1521,1.0,1.0,1.0,-1.0,390.0,107.0,,,,,,,,,,,,37,37
1583,1.0,1.0,1.0,-1.0,397.0,103.0,,,,,,,,,,,,37,37
1644,1.0,1.0,1.0,-1.0,425.0,106.0,,,,,,,,,,,,37,37
1707,1.0,1.0,1.0,0.0,446.0,115.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
1768,1.0,1.0,1.0,0.0,450.0,116.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
1830,1.0,1.0,1.0,0.0,451.0,118.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
1890,1.0,1.0,1.0,0.0,451.0,118.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
1952,1.0,1.0,1.0,0.0,451.0,118.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2015,1.0,1.0,1.0,0.0,451.0,118.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2076,1.0,1.0,1.0,0.0,451.0,118.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2138,1.0,1.0,1.0,0.0,451.0,118.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2200,1.0,1.0,1.0,0.0,451.0,118.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2264,1.0,1.0,1.0,0.0,451.0,118.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2325,1.0,1.0,1.0,0.0,445.0,122.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2389,1.0,1.0,1.0,0.0,438.0,126.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2451,1.0,1.0,1.0,0.0,438.0,127.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2512,1.0,1.0,1.0,0.0,440.0,127.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2573,1.0,1.0,1.0,0.0,465.0,127.0, Hëna ,111.56666564941406,433.2166748046875,131.56666564941406,481.2666778564453,,,,,,,37,37
2635,1.0,1.0,1.0,1.0,493.0,125.0, është ,111.56666564941406,481.26666259765625,131.56666564941406,530.3166656494141,,,,,,,37,37
2696,1.0,1.0,1.0,1.0,510.0,124.0, është ,111.56666564941406,481.26666259765625,131.56666564941406,530.3166656494141,,,,,,,37,37
2757,1.0,1.0,1.0,1.0,526.0,125.0, është ,111.56666564941406,481.26666259765625,131.56666564941406,530.3166656494141,,,,,,,37,37
2820,1.0,1.0,1.0,1.0,528.0,125.0, është ,111.56666564941406,481.26666259765625,131.56666564941406,530.3166656494141,,,,,,,37,37
2883,1.0,1.0,1.0,1.0,529.0,125.0, është ,111.56666564941406,481.26666259765625,131.56666564941406,530.3166656494141,,,,,,,37,37
2945,1.0,1.0,1.0,1.0,529.0,125.0, është ,111.56666564941406,481.26666259765625,131.56666564941406,530.3166656494141,,,,,,,37,37
3008,1.0,1.0,1.0,1.0,529.0,125.0, është ,111.56666564941406,481.26666259765625,131.56666564941406,530.3166656494141,,,,,,,37,37
3069,1.0,1.0,1.0,1.0,529.0,125.0, është ,111.56666564941406,481.26666259765625,131.56666564941406,530.3166656494141,,,,,,,37,37
3130,1.0,1.0,1.0,2.0,535.0,125.0, sateliti ,111.56666564941406,530.316650390625,131.56666564941406,586.3499908447266,,,,,,,37,37
3191,1.0,1.0,1.0,2.0,560.0,122.0, sateliti ,111.56666564941406,530.316650390625,131.56666564941406,586.3499908447266,,,,,,,37,37
3251,1.0,1.0,1.0,3.0,595.0,119.0, i ,111.56666564941406,586.3499755859375,131.56666564941406,595.3499755859375,,,,,,,37,37
3314,1.0,1.0,1.0,4.0,622.0,119.0, vetëm ,111.56666564941406,595.3499755859375,131.56666564941406,649.38330078125,,,,,,,37,37
3376,1.0,1.0,1.0,4.0,626.0,119.0, vetëm ,111.56666564941406,595.3499755859375,131.56666564941406,649.38330078125,,,,,,,37,37
3439,1.0,1.0,1.0,4.0,626.0,119.0, vetëm ,111.56666564941406,595.3499755859375,131.56666564941406,649.38330078125,,,,,,,37,37
3500,1.0,1.0,1.0,4.0,626.0,119.0, vetëm ,111.56666564941406,595.3499755859375,131.56666564941406,649.38330078125,,,,,,,37,37
3561,1.0,1.0,1.0,4.0,626.0,119.0, vetëm ,111.56666564941406,595.3499755859375,131.56666564941406,649.38330078125,,,,,,,37,37
